#id	off	len	end	hex	readable	translation
389	0x0b82	16	FF	040025062524260b0a000c0a28020c0a	<04><魔>時<06>時出手<0B><0A><魔><0C><0A>（<見><0C><0A>	
390	0x0b93	12	FF	204040404040005a00c000d0	 輪輪輪輪輪<魔>Ｚ<魔>た<魔>み	
391	0x0ba0	31	FF	0000000000000000000000000000000000000000000000022325002820230c	<魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><見>兵時<魔>（ 兵<0C>	
392	0x0bc0	6	FF	0078004000d0	<魔>ク<魔>輪<魔>み	
393	0x0bc7	0	FE			
394	0x0bc8	32	FF	04000000000000000000000000000000000000000f02200c0a0020090a24090a	<04><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><0F><見> <0C><0A><魔> <09><0A>出<09><0A>	
395	0x0be9	7	FF	20005a000000d0	 <魔>Ｚ<魔><魔><魔>み	
396	0x0bf1	18	FF	00250604090f0a04020d0024262121202325	<魔>時<06><04><09><0F><0A><04><見><0D><魔>出手！！ 兵時	
397	0x0c04	6	FF	007800c000d0	<魔>ク<魔>た<魔>み	
398	0x0c0b	0	FE			
399	0x0c0c	14	FF	04000c060f0b0a2320000c020f20	<04><魔><0C><06><0F><0B><0A>兵 <魔><0C><見><0F> 	
400	0x0c1b	6	FF	0096004000d0	<魔>ヨ<魔>輪<魔>み	
401	0x0c22	0	FE			
402	0x0c23	16	FF	04000c022b2607260e0a0009200f0e02	<04><魔><0C><見>十手<07>手<0E><0A><魔><09> <0F><0E><見>	
403	0x0c34	6	FF	00b4000001d0	<魔>え<魔><魔><士>み	
404	0x0c3b	0	FE			
405	0x0c3c	19	FF	04002a2024090a23200025020c0624090a2502	<04><魔>行 出<09><0A>兵 <魔>時<見><0C><06>出<09><0A>時<見>	
406	0x0c50	10	FF	204040404040005a00d0	 輪輪輪輪輪<魔>Ｚ<魔>み	
407	0x0c5b	33	FF	200000000000000000000000000000000000000000000000002123200526040623	 <魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔>！兵 <05>手<04><06>兵	
408	0x0c7d	6	FF	0178008000d0	<士>ク<魔>タ<魔>み	
409	0x0c84	0	FE			
410	0x0c85	32	FF	0400000000000000000000000000002a022426090a252000280225020f020306	<04><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔>行<見>出手<09><0A>時 <魔>（<見>時<見><0F><見><03><06>	
411	0x0ca6	10	FF	204040404040005a00d0	 輪輪輪輪輪<魔>Ｚ<魔>み	
412	0x0cb1	18	FF	20000021232005260425000e020f02080623	 <魔><魔>！兵 <05>手<04>時<魔><0E><見><0F><見><08><06>兵	
413	0x0cc4	6	FF	0178008000d0	<士>ク<魔>タ<魔>み	
414	0x0ccb	0	FE			
415	0x0ccc	13	FF	04000c060a0b0a0009200f0502	<04><魔><0C><06><0A><0B><0A><魔><09> <0F><05><見>	
416	0x0cda	5	FF	20005a00d0	 <魔>Ｚ<魔>み	
417	0x0ce0	33	FF	8000000000000000000000000000000006290604250a2706002123200526040623	タ<魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><06>）<06><04>時<0A>力<06><魔>！兵 <05>手<04><06>兵	
418	0x0d02	4	FF	007800d0	<魔>ク<魔>み	
419	0x0d07	2	FE	2000	 <魔>	
420	0x0d0a	32	FF	0400000000000000000000000000000000002a260c0a0f2003260004090a0502	<04><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔>行手<0C><0A><0F> <03>手<魔><04><09><0A><05><見>	
421	0x0d2b	10	FF	204040404040005a00d0	 輪輪輪輪輪<魔>Ｚ<魔>み	
422	0x0d36	33	FF	2000000000000000000000000000000000000000000000002126030d0a24090623	 <魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔>！手<03><0D><0A>出<09><06>兵	
423	0x0d58	6	FF	0078000001d0	<魔>ク<魔><魔><士>み	
424	0x0d5f	0	FE			
425	0x0d60	32	FF	04000000000000000000000000002a022426090a23200007260c2624090a0e02	<04><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔><魔>行<見>出手<09><0A>兵 <魔><07>手<0C>手出<09><0A><0E><見>	
426	0x0d81	109	FF	20108056ddfae2aae783ed16f004de06de0bde11de1ade23de33de3ade45de4fde5fde6ede82de97deabdebbdecaded7dee9def8de0adf19df26df31df40df49df54df60df6cdf7ddf94dfa8dfbcdfcddfe0dff5df0de022e037e044e052e065e07de098e0b5e0c5e0d7e0ece0	 <10>タＶん<FA><E2>ぇ<E7>テ<ED><16><F0><04>中<06>中<0B>中<11>中<1A>中兵中３中石中Ｅ中Ｏ中方中ョ中ツ中ラ中ぉ中さ中は中ら中<E9>中<F8>中<0A>物<19>物手物１物輪物Ｉ物Ｔ物世物ャ物ス物ヤ物ぃ物し物へ物←物細<0D>←生←７←Ｄ←Ｒ←今←ス←リ←お←な←ら←<EC>←	
427	0x0def	1369	F1	e010e122e12fe13ae145e151e15fe168e175e182e196e1ace1c3e1dae1efe102e216e229e238e244e251e260e26ee27de28ee29de2a8e2b7e2c1e2cae2d3e2dde2e2e2e5e2eae2efe2f2e2f8e2bf978bc702bf858b028502bf858b0286c8028ac802aa89c30298c6010002aa890200c20200c2028902900100c202a8900288029001ab900289c9020186018202a890c201910186018202a88cc3020182019001860182028fc502948c01820182019001860182028f01988c0183c30190018601820282c202018a018302948c0183c30282028d0186018202820282cb018302948ac301820286028c0184c3018202820291d002848a01c50286028c01840183c2028202a586c501028a028c01840182028402a586018f028c01840182028402a58601840284c40282028dc501820282c202a68601840284028202820294028202a7860185c2028202820282028ec20285c302a7860186028202820282028d028202ae8302c301860288028d028202ae8302890288028d028202ae8302000288c20284c3028d028202ae940290c202a5c201888f0284028f028202a601878ec20284028f028202a601878d0284c20290028202a601878d0284029102820297c30182c2028801878ec20282028ec402820297018201028202870184c202008f0282028d0286029701820102820287018302838f028202850282028b0297018201830285c301878f028202850282028402860297018201938f0282028502820284028602970182018f02838702870282028502820285c70295c30182018f0283870282c3028202820285028202a10184010282c2028a02838dc202830282c20100028202a101840189028402848d028402820100010282c4019e0184018a028302849202830188019d0184018a028892028c019e0289c202830283028487c40287028c0198c20284028a0283028302848702820287c301000288019702820283028a02830283028485c30283c50201840102880196c2028202830282c502870283028485c401000282c30201840189019502840283028202870283c3020002848901028502c5010288029bc2028c028c8901028502850288c60285c3028e028b028e890100c202830286c4028a0284028202870284029b89c4028302940284028202870283c20200029990c302920285c3028802820282028a028e93c40183028a02900282028202880200028e970182028ac20190c3028202998c018a0182028c019402998c028a0182028c019402998c028a01c2028d018fc5029a890183c20286c301028e028e029f89018b0182028e02ae8702c2018402860182028e02ae87028602860182028e028e029f00c702860282c202c301820282c40288028e029f0002c90183028202860282028202880282c90183029f0002018801820282028602820283c9028201880182029f000201880182028202860282c40282028801880182029f00020188018c0282c202840288018801830182019b00020188018fc202840288018801830182019b00020186c3018c028802880186c301830182019b00020186018dc20288c6018301860186c3019b00020186018c02900183c70188029b00020186018c02900192029b00020184c3018c02900192029b00020184018bc2020002900192029b000200010282028d02910192029b00c202000282028d02910191c2029b830283028bc20200c3028c02c20190029d83c202820290028c0282c70289029d83c20282029002a0c2029b83c20282c30200c20285c5010002bd8d028401840100c202bb8d0284018401a2029b8d0284018401a2029b8dc601840182029f029b97018202bb9701be97028202bb97028202bb9702be970200c202bbbf97cae3cce3d0e3d3e3d7e3d9e3dbe3dee3e3e3e9e3eee3	←<10>→生→気→石→Ｅ→Ｑ→方→ィ→オ→ツ→ヨ→ゃ→て→れ→<EF>→<見><E2><16><E2>）<E2>８<E2>Ｄ<E2>Ｑ<E2>世<E2>ョ<E2>ス<E2>ホ<E2>ン<E2>ぃ<E2>き<E2>ち<E2>は<E2>も<E2>ん<E2><E2><E2><E5><E2><EA><E2><EF><E2><F2><E2><F8><E2>そラヒぬ<見>そナヒ<見>ナ<見>そナヒ<見>ニね<見>ハね<見>ぇノて<見>リに<士><魔><見>ぇノ<見><魔>つ<見><魔>つ<見>ノ<見>ミ<士><魔>つ<見>ぃミ<見>ネ<見>ミ<士>ぉミ<見>ノの<見><士>ニ<士>ツ<見>ぃミづム<士>ニ<士>ツ<見>ぃフて<見><士>ヅミ<士>ニ<士>ツ<見>マな<見>ヤブヅヅミ<士>ニ<士>ツ<見>マ<士>リブテでミ<士>ニ<士>ツ<見>ツつ<見><士>バテ<見>ヤブテて<見>ツ<見>ベニ<士>ツ<見>ツ<見>ツびテ<見>ヤハでツ<見>ニ<見>ブトでツ<見>ツ<見>ムみ<見>トバな<見>ニ<見>ブドテつ<見>ツ<見>‥ニな<士><見>ハ<見>ブドツ<見>ト<見>‥ニ<士>マ<見>ブドツ<見>ト<見>‥ニ<士>ト<見>トと<見>ツ<見>ヘな<士>ツ<見>ツつ<見>をニ<士>ト<見>ト<見>ツ<見>ツ<見>ヤ<見>ツ<見>ぁニ<士>ナつ<見>ツ<見>ツ<見>ツ<見>ホつ<見>ナて<見>ぁニ<士>ニ<見>ツ<見>ツ<見>ツ<見>ヘ<見>ツ<見>ょテ<見>でニ<見>ネ<見>ヘ<見>ツ<見>ょテ<見>ノ<見>ネ<見>ヘ<見>ツ<見>ょテ<見><魔><見>ネつ<見>トて<見>ヘ<見>ツ<見>ょヤ<見>ミつ<見>‥づネマ<見>ト<見>マ<見>ツ<見>を<士>ヌホつ<見>ト<見>マ<見>ツ<見>を<士>ヌヘ<見>トつ<見>ミ<見>ツ<見>を<士>ヌヘ<見>ト<見>ム<見>ツ<見>ラでツつ<見>ネ<士>ヌホつ<見>ツ<見>ホと<見>ツ<見>ラ<士>ヅ<見>ツ<見>ヌ<士>トつ<見><魔>マ<見>ツ<見>ヘ<見>ニ<見>ラ<士>ヅ<見>ツ<見>ヌ<士>テ<見>テマ<見>ツ<見>ナ<見>ツ<見>ヒ<見>ラ<士>ヅテ<見>ナでヌマ<見>ツ<見>ナ<見>ツ<見>ト<見>ニ<見>ラ<士>ヅモマ<見>ツ<見>ナ<見>ツ<見>ト<見>ニ<見>ラ<士>ヅマ<見>テヌ<見>ヌ<見>ツ<見>ナ<見>ツ<見>ナぬ<見>ユでヅマ<見>テヌ<見>ツて<見>ツ<見>ツ<見>ナ<見>ツ<見><A1><士>ド<見>ツつ<見>ハ<見>テヘつ<見>テ<見>ツづ<魔><見>ツ<見><A1><士>ドノ<見>ト<見>トヘ<見>ト<見>ヅ<魔><士><見>ツど結<士>ドハ<見>テ<見>トメ<見>デネ<士>ン<士>ドハ<見>ネメ<見>ブ結<見>ノつ<見>テ<見>テ<見>トヌと<見>ヌ<見>ブリつ<見>ト<見>ハ<見>テ<見>テ<見>トヌ<見>ツ<見>ヌで<魔><見>ネ<士>ラ<見>ツ<見>テ<見>ハ<見>テ<見>テ<見>トナて<見>テな<見><士>ド<見>ネ<士>ヨつ<見>ツ<見>テ<見>ツな<見>ヌ<見>テ<見>トナど<魔><見>ツて<見><士>ドノ<士>ユ<見>ト<見>テ<見>ツ<見>ヌ<見>テて<見><魔><見>トノ<士><見>ナ<見>な<士><見>ネ<見>ロつ<見>フ<見>フノ<士><見>ナ<見>ナ<見>ネに<見>ナて<見>ホ<見>ヒ<見>ホノ<士><魔>つ<見>テ<見>ニと<見>ハ<見>ト<見>ツ<見>ヌ<見>ト<見>ロノと<見>テ<見>ヤ<見>ト<見>ツ<見>ヌ<見>テつ<見><魔><見>ルミて<見>メ<見>ナて<見>ネ<見>ツ<見>ツ<見>ハ<見>ホモどテ<見>ハ<見>ミ<見>ツ<見>ツ<見>ネ<見><魔><見>ホラ<士>ツ<見>ハづミて<見>ツ<見>ルブバツ<見>ブヤ<見>ルフ<見>バツ<見>ブヤ<見>ルフ<見>バつ<見>ベマな<見>レノ<士>テつ<見>ニで<見>ホ<見>ホ<見>知ノ<士>ビツ<見>ホ<見>ょヌ<見>づト<見>ニ<士>ツ<見>ホ<見>ょヌ<見>ニ<見>ニ<士>ツ<見>ホ<見>ホ<見>知<魔>ぬ<見>ニ<見>ツつ<見>でツ<見>ツと<見>ネ<見>ホ<見>知<魔><見>の<士>テ<見>ツ<見>ニ<見>ツ<見>ツ<見>ネ<見>ツの<士>テ<見>知<魔><見><士>ネ<士>ツ<見>ツ<見>ニ<見>ツ<見>テの<見>ヅネ<士>ツ<見>知<魔><見><士>ネ<士>ツ<見>ツ<見>ニ<見>ツと<見>ツ<見>ネ<士>ネ<士>ツ<見>知<魔><見><士>ネ<士>フ<見>ツつ<見>ト<見>ネ<士>ネ<士>デヅロ<魔><見><士>ネ<士>マつ<見>ト<見>ネ<士>ネ<士>デヅロ<魔><見><士>ニでフ<見>ネ<見>ネ<士>ニでデヅロ<魔><見><士>ニ<士>ヘつ<見>ネに<士>デニ<士>ニでロ<魔><見><士>ニ<士>フ<見>ミ<士>テぬ<士>ネ<見>ロ<魔><見><士>ニ<士>フ<見>ミ<士>メ<見>ロ<魔><見><士>トでフ<見>ミ<士>メ<見>ロ<魔><見><士>ドヒつ<見><魔><見>ミ<士>メ<見>ロ<魔><見><魔><士><見>ツ<見>ヘ<見>ム<士>メ<見>ロ<魔>つ<見><魔><見>ツ<見>ヘ<見>ム<士>ムつ<見>ロテ<見>テ<見>ヒつ<見><魔>て<見>フ<見>づミ<見>ンテつ<見>ツ<見>ミ<見>フ<見>ツぬ<見>ノ<見>ンテつ<見>ツ<見>ミ<見>♥つ<見>ロテつ<見>ツて<見><魔>つ<見>ナな<士><魔><見>すヘ<見>ドド<魔>つ<見>さヘ<見>ドド「<見>ロヘ<見>ドド「<見>ロヘに<士>ドツ<見>知<見>ロラ<士>ツ<見>さラ<士>せラ<見>ツ<見>さラ<見>ツ<見>さラ<見>せラ<見><魔>つ<見>さそラは\nふ\nみ\nも\nら\nる\nろ\n中\n\n\n<E9>\n<EE>\n	
428	0x1349	5	FF	e3f5e3fae3	\n掛<FA>\n	
